Annee;Diplôme;Numéro de l'établissement;Etablissement;Code de l'académie;Académie;Code du domaine;Domaine;Code de la discipline;Discipline;situation;Taux d'insertion;% emplois stables;% emplois à  temps plein;Salaire brut annuel estimé;% de diplômés boursiers;% emplois cadre;% emplois extérieurs à  la région de l'université;% femmes;cle_ETAB;cle_DISC
2014;LICENCE PRO;0860856N;Poitiers;A13;Poitiers;SHS;Sciences humaines et sociales;disc07;Ensemble sciences humaines et sociales;18 mois après le diplôme;83;53;85;ns;30.00;ns;ns;70;Poitiers_18;disc07_18
2014;LICENCE PRO;0860856N;Poitiers;A13;Poitiers;SHS;Sciences humaines et sociales;disc07;Ensemble sciences humaines et sociales;30 mois après le diplôme;81;ns;ns;ns;30.00;ns;ns;70;Poitiers_30;disc07_30
2014;MASTER LMD;0511296G;Reims - Champagne Ardenne;A19;Reims;STS;Sciences, technologies et santé;disc14;Sciences fondamentales;30 mois après le diplôme;91;ns;ns;ns;36.00;ns;ns;56;Reims - Champagne Ardenne_30;disc14_30
2010;MASTER LMD;0511296G;Reims - Champagne Ardenne;A19;Reims;DEG;Droit, économie et gestion;disc02;Droit;30 mois après le diplôme;91;ns;ns;ns;43.00;ns;ns;nd;Reims - Champagne Ardenne_30;disc02_30
2014;MASTER LMD;0511296G;Reims - Champagne Ardenne;A19;Reims;STS;Sciences, technologies et santé;disc14;Sciences fondamentales;18 mois après le diplôme;71;ns;ns;ns;36.00;ns;ns;56;Reims - Champagne Ardenne_18;disc14_18
2014;MASTER LMD;0511296G;Reims - Champagne Ardenne;A19;Reims;STS;Sciences, technologies et santé;disc13;Sciences de la vie et de la terre;30 mois après le diplôme;88;ns;ns;ns;36.00;ns;ns;46;Reims - Champagne Ardenne_30;disc13_30
2014;MASTER LMD;0511296G;Reims - Champagne Ardenne;A19;Reims;STS;Sciences, technologies et santé;disc13;Sciences de la vie et de la terre;18 mois après le diplôme;81;ns;ns;ns;36.00;ns;ns;46;Reims - Champagne Ardenne_18;disc13_18
2014;LICENCE PRO;0350936C;Rennes 1;A14;Rennes;DEG;Droit, économie et gestion;disc05;Autres formations juridiques, économiques et de gestion;30 mois après le diplôme;94;80;ns;ns;15.00;ns;ns;46;Rennes 1_30;disc05_30
2014;LICENCE PRO;0350936C;Rennes 1;A14;Rennes;DEG;Droit, économie et gestion;disc05;Autres formations juridiques, économiques et de gestion;18 mois après le diplôme;94;70;100;ns;15.00;ns;ns;46;Rennes 1_18;disc05_18
2014;MASTER LMD;0830766G;Toulon - Sud Toulon Var;A23;Nice;DEG;Droit, économie et gestion;disc04;Gestion;30 mois après le diplôme;88;ns;ns;ns;35.00;ns;ns;59;Toulon - Sud Toulon Var_30;disc04_30
2014;MASTER LMD;0830766G;Toulon - Sud Toulon Var;A23;Nice;DEG;Droit, économie et gestion;disc04;Gestion;18 mois après le diplôme;76;ns;ns;ns;35.00;ns;ns;59;Toulon - Sud Toulon Var_18;disc04_18
2013;LICENCE PRO;0830766G;Toulon - Sud Toulon Var;A23;Nice;SHS;Sciences humaines et sociales;disc07;Ensemble sciences humaines et sociales;30 mois après le diplôme;78;ns;ns;ns;31.00;ns;ns;18;Toulon - Sud Toulon Var_30;disc07_30
2013;LICENCE PRO;0830766G;Toulon - Sud Toulon Var;A23;Nice;SHS;Sciences humaines et sociales;disc07;Ensemble sciences humaines et sociales;18 mois après le diplôme;ns;ns;ns;ns;31.00;ns;ns;18;Toulon - Sud Toulon Var_18;disc07_18
2013;LICENCE PRO;0830766G;Toulon - Sud Toulon Var;A23;Nice;SHS;Sciences humaines et sociales;disc10;Information communication;18 mois après le diplôme;ns;ns;ns;ns;31.00;ns;ns;18;Toulon - Sud Toulon Var_18;disc10_18
2013;LICENCE PRO;0830766G;Toulon - Sud Toulon Var;A23;Nice;SHS;Sciences humaines et sociales;disc10;Information communication;30 mois après le diplôme;78;ns;ns;ns;31.00;ns;ns;18;Toulon - Sud Toulon Var_30;disc10_30
2012;MASTER LMD;0311383K;Toulouse - Jean Jaures;A16;Toulouse;DEG;Droit, économie et gestion;disc04;Gestion;18 mois après le diplôme;78;ns;ns;ns;37.00;ns;ns;75;Toulouse - Jean Jaures_18;disc04_18
2012;MASTER LMD;0311383K;Toulouse - Jean Jaures;A16;Toulouse;DEG;Droit, économie et gestion;disc04;Gestion;30 mois après le diplôme;88;ns;ns;ns;37.00;ns;ns;75;Toulouse - Jean Jaures_30;disc04_30
2014;LICENCE PRO;0311383K;Toulouse - Jean Jaures;A16;Toulouse;DEG;Droit, économie et gestion;disc03;Economie;30 mois après le diplôme;94;77;97;ns;26.00;ns;ns;56;Toulouse - Jean Jaures_30;disc03_30
2014;LICENCE PRO;0311383K;Toulouse - Jean Jaures;A16;Toulouse;DEG;Droit, économie et gestion;disc03;Economie;18 mois après le diplôme;82;ns;ns;ns;26.00;ns;ns;56;Toulouse - Jean Jaures_18;disc03_18
2013;MASTER LMD;0370800U;Tours - François Rabelais;A18;Orléans-Tours;DEG;Droit, économie et gestion;disc02;Droit;18 mois après le diplôme;94;ns;ns;ns;32.00;ns;ns;71;Tours - François Rabelais_18;disc02_18
2013;MASTER LMD;0370800U;Tours - François Rabelais;A18;Orléans-Tours;DEG;Droit, économie et gestion;disc02;Droit;30 mois après le diplôme;78;ns;ns;ns;32.00;ns;ns;71;Tours - François Rabelais_30;disc02_30
2013;LICENCE PRO;0781944P;Versailles Saint-Quentin-en-Yvelines;A25;Versailles;SHS;Sciences humaines et sociales;disc07;Ensemble sciences humaines et sociales;30 mois après le diplôme;84;ns;ns;ns;4.00;ns;ns;34;Versailles Saint-Quentin-en-Yvelines_30;disc07_30
2013;LICENCE PRO;0781944P;Versailles Saint-Quentin-en-Yvelines;A25;Versailles;SHS;Sciences humaines et sociales;disc07;Ensemble sciences humaines et sociales;18 mois après le diplôme;85;ns;ns;ns;4.00;ns;ns;34;Versailles Saint-Quentin-en-Yvelines_18;disc07_18
2013;LICENCE PRO;0781944P;Versailles Saint-Quentin-en-Yvelines;A25;Versailles;SHS;Sciences humaines et sociales;disc11;Autres sciences humaines et sociales;18 mois après le diplôme;85;ns;ns;ns;4.00;ns;ns;34;Versailles Saint-Quentin-en-Yvelines_18;disc11_18
