Annee;Diplôme;Numéro de l'établissement;Établissement;Code de l'académie;Académie;Code du domaine;Domaine;Code de la discipline;Discipline;situation;Remarque;Nombre de réponses;Taux de réponse;Poids de la discipline;Taux d’insertion;% emplois cadre ou professions intermédiaires;% emplois stables;% emplois à temps plein;Salaire net médian des emplois à temps plein;Salaire brut annuel estimé;% de diplômés boursiers;Taux de chômage régional;Salaire net mensuel médian régional;% emplois cadre;% emplois extérieurs à la région de l’université;% femmes;Salaire net mensuel régional 1er quartile;Salaire net mensuel régional 3ème quartile;cle_ETAB;cle_DISC
2014;LICENCE PRO;0730858L;Chambéry - Savoie;A08;Grenoble;STS;Sciences, technologies et santé;disc15;Sciences de l'ingénieur;18 mois après le diplôme;;134;88;29;96;85;70;98;1650;25700;10.00;8.2;1830;9;25;18;1470;2180;Chambéry - Savoie_18;disc15_18
2014;LICENCE PRO;0730858L;Chambéry - Savoie;A08;Grenoble;STS;Sciences, technologies et santé;disc17;Autres sciences, technologies et santé;30 mois après le diplôme;;23;94;5;ns;ns;ns;ns;ns;ns;10.00;8.2;1830;ns;ns;ns;1470;2180;Chambéry - Savoie_30;disc17_30
2014;LICENCE PRO;0730858L;Chambéry - Savoie;A08;Grenoble;STS;Sciences, technologies et santé;disc17;Autres sciences, technologies et santé;18 mois après le diplôme;;23;94;5;ns;ns;ns;ns;ns;ns;10.00;8.2;1830;ns;ns;ns;1470;2180;Chambéry - Savoie_18;disc17_18
2014;LICENCE PRO;0751717J;Paris 1 - Panthéon Sorbonne;A01;Paris;DEG;Droit, économie et gestion;disc04;Gestion;30 mois après le diplôme;;24;55;78;ns;ns;ns;ns;ns;ns;2.00;8.3;2050;ns;ns;ns;1610;2560;Paris 1 - Panthéon Sorbonne_30;disc04_30
2014;LICENCE PRO;0751717J;Paris 1 - Panthéon Sorbonne;A01;Paris;SHS;Sciences humaines et sociales;disc08;Histoire-géographie;30 mois après le diplôme;;11;88;22;ns;ns;ns;ns;ns;ns;2.00;8.3;2050;ns;ns;ns;1610;2560;Paris 1 - Panthéon Sorbonne_30;disc08_30
2014;LICENCE PRO;0751719L;Paris 3 - Sorbonne Nouvelle;A01;Paris;DEG;Droit, économie et gestion;disc05;Autres formations juridiques, économiques et de gestion;30 mois après le diplôme;Université ayant participé à l'enquête mais dont l'effectif est trop petit pour que les résultats soient jugés exploitables;1;50;;;;;;;;43.00;8.3;2050;;;;1610;2560;Paris 3 - Sorbonne Nouvelle_30;disc05_30
2014;LICENCE PRO;0751720M;Paris 4 - Sorbonne;A01;Paris;DEG;Droit, économie et gestion;disc01;Ensemble formations juridiques, économiques et de gestion;30 mois après le diplôme;Université ayant participé à l'enquête mais dont l'effectif est trop petit pour que les résultats soient jugés exploitables;5;80;;;;;;;;0.00;8.3;2050;;;;1610;2560;Paris 4 - Sorbonne_30;disc01_30
2014;LICENCE PRO;0751720M;Paris 4 - Sorbonne;A01;Paris;DEG;Droit, économie et gestion;disc01;Ensemble formations juridiques, économiques et de gestion;18 mois après le diplôme;Université ayant participé à l'enquête mais dont l'effectif est trop petit pour que les résultats soient jugés exploitables;5;80;;;;;;;;0.00;8.3;2050;;;;1610;2560;Paris 4 - Sorbonne_18;disc01_18
2014;LICENCE PRO;0751720M;Paris 4 - Sorbonne;A01;Paris;DEG;Droit, économie et gestion;disc04;Gestion;18 mois après le diplôme;Université ayant participé à l'enquête mais dont l'effectif est trop petit pour que les résultats soient jugés exploitables;5;80;;;;;;;;0.00;8.3;2050;;;;1610;2560;Paris 4 - Sorbonne_18;disc04_18
2014;LICENCE PRO;0751720M;Paris 4 - Sorbonne;A01;Paris;SHS;Sciences humaines et sociales;disc11;Autres sciences humaines et sociales;30 mois après le diplôme;Université ayant participé à l'enquête mais dont l'effectif est trop petit pour que les résultats soient jugés exploitables;1;40;;;;;;;;0.00;8.3;2050;;;;1610;2560;Paris 4 - Sorbonne_30;disc11_30
2014;LICENCE PRO;0751722P;Paris Pierre et Marie Curie;A01;Paris;SHS;Sciences humaines et sociales;disc07;Ensemble sciences humaines et sociales;18 mois après le diplôme;;4;63;6;ns;ns;ns;ns;ns;ns;4.00;8.3;2050;ns;ns;ns;1610;2560;Paris Pierre et Marie Curie_18;disc07_18
2014;LICENCE PRO;0751722P;Paris Pierre et Marie Curie;A01;Paris;SHS;Sciences humaines et sociales;disc11;Autres sciences humaines et sociales;18 mois après le diplôme;;4;63;6;ns;ns;ns;ns;ns;ns;4.00;8.3;2050;ns;ns;ns;1610;2560;Paris Pierre et Marie Curie_18;disc11_18
2014;LICENCE PRO;0751722P;Paris Pierre et Marie Curie;A01;Paris;STS;Sciences, technologies et santé;disc14;Sciences fondamentales;30 mois après le diplôme;;16;60;23;ns;ns;ns;ns;ns;ns;4.00;8.3;2050;ns;ns;ns;1610;2560;Paris Pierre et Marie Curie_30;disc14_30
2014;LICENCE PRO;0751723R;Paris 7 - Denis Diderot;A01;Paris;LLA;Lettres, langues, arts;disc06;Lettres, langues, arts;30 mois après le diplôme;Université ayant participé à l'enquête mais dont l'effectif est trop petit pour que les résultats soient jugés exploitables;10;91;;;;;;;;9.00;8.3;2050;;;;1610;2560;Paris 7 - Denis Diderot_30;disc06_30
2014;LICENCE PRO;0751723R;Paris 7 - Denis Diderot;A01;Paris;STS;Sciences, technologies et santé;disc14;Sciences fondamentales;30 mois après le diplôme;Université ayant participé à l'enquête mais dont l'effectif est trop petit pour que les résultats soient jugés exploitables;15;60;;;;;;;;9.00;8.3;2050;;;;1610;2560;Paris 7 - Denis Diderot_30;disc14_30
